,baseline,v5,v5(compound),defensive,defensive(fixed),balanced,balanced(fixed),aggressive,aggressive(fixed),SOXL 보유
2005-08-12,132577884.14954011,101405669.59522162,98221580.59718524,134853984.17305964,131281317.40981366,147295033.91892385,142461364.39068604,142169640.02387705,154557987.79856163,3904008.146719058
2005-08-15,133768791.7311216,102596577.17680311,99399208.61155452,136139519.8158675,132280263.30140254,150077278.81639954,144498403.0338161,146052144.31715852,157613545.76325676,4056769.5570411114
2005-08-16,133182062.03025769,102009847.47593918,98819165.96305037,135497206.02667776,131779401.24868909,148228599.11758572,143142005.20108703,143478094.3929497,155578949.0141631,3812317.7413824336
2005-08-17,133965579.08473776,102793364.53041928,99595375.639464,136550875.82277092,132587338.55006914,150344907.9944136,144664958.4012971,146454679.749646,157863378.81447822,3972608.1550045637
2005-08-18,133695027.62363392,102522813.06931543,99327871.06780261,136304660.53559846,132395574.52152345,149612041.94927987,144127587.5094422,145433934.7468813,157057322.47669587,3863487.8510686927
2005-08-19,133701156.97274122,102528942.41842273,99333947.97926347,136311646.4459622,132400827.36875021,149624981.34981546,144136604.0652455,145452451.57221103,157070847.3104008,3865501.3996722386
2005-08-22,134364260.83002016,103192046.27570167,99991356.44331153,136955425.711364,132884945.67647198,150821899.2461125,144970830.97419778,147165122.94247258,158322187.67382923,4035322.989217181
2005-08-23,134284835.1316337,103112620.5773152,99912756.28694108,136922265.66907075,132859638.58942048,150720383.08115774,144898572.88441402,147021291.0373867,158213800.53915358,3997881.7923729927
2005-08-24,133947842.668257,102775628.1139385,99577697.18067953,136746980.35278383,132728440.75180253,150341918.87351644,144634493.83634028,146480371.87250787,157817681.96704295,3911065.046815479
2005-08-25,134355959.32455033,103183744.77023186,99984088.23669487,137192545.49581912,133060598.53700447,151089869.30992728,145149431.36647713,147556036.43327755,158590088.2622483,3984391.775127953
2005-08-26,134022877.73602325,102850663.18170476,99652911.78999035,136586242.53372595,132608639.41503286,150076047.75337517,144451616.10176206,146097851.3592676,157543365.36517566,3877158.936008307
2005-08-29,134686820.39263555,103514605.83831707,100314419.3383574,137911502.50233167,133595725.13970387,152162806.92900532,145882513.65173525,149104438.78204417,159689711.69013545,4012833.623152245
2005-08-30,134796676.66254804,103624462.10822955,100423610.78000477,138312289.5868824,133894254.15005642,152795978.60526603,146316774.67942923,150016618.76226717,160341103.23167637,4060476.230788694
2005-08-31,134917841.1315644,103745626.5772459,100543385.75150777,138813676.37014917,134268105.43357164,153652348.42816094,146906933.68013954,151247657.83100212,161226341.73274177,4187839.8159517986
2005-09-01,134910348.62642527,103738134.07210678,100535852.53112757,138784847.6032188,134246373.81099373,153508885.85416445,146805246.6393488,151043986.07659012,161073811.17155567,4066369.9368471904
2005-09-02,134821992.6301744,103649778.07585591,100447016.96370426,138601051.45501873,134109528.71839415,153182668.1065448,146581489.45656163,150573987.49678105,160738175.39737493,4022483.298875171
2005-09-06,135521219.96685547,104349005.41253695,101150017.404059,139391383.44407636,134697968.9837978,155625171.73211023,148252339.60503122,154097164.8348818,163244450.6200793,4215413.29744085
2005-09-07,135521219.96685547,104349005.41253695,101150017.404059,139391383.44407636,134697968.9837978,155625171.73211023,148252339.60503122,154097164.8348818,163244450.6200793,4223976.566996327
2005-09-08,135521219.96685547,104349005.41253695,101150017.404059,139391383.44407636,134697968.9837978,155625171.73211023,148252339.60503122,154097164.8348818,163244450.6200793,4403962.595395894
2005-09-09,135521219.96685547,104349005.41253695,101150017.404059,139391383.44407636,134697968.9837978,155625171.73211023,148252339.60503122,154097164.8348818,163244450.6200793,4454627.421934464
2005-09-12,135513727.46291786,104341512.90859938,101142438.73512512,139387051.35310313,134694861.12241772,155618722.9126303,148248195.7898578,154087586.5823344,163238234.89731914,4430213.619115667
2005-09-13,135707990.41869318,104535775.86437467,101338935.74603145,139503376.22931632,134778313.1072815,155791885.97230783,148359465.10300952,154344780.8676815,163405138.86704674,4549628.237687089
