Date,baseline,v5
2006-03-14,145483165.52501398,117443173.04757181
2006-03-15,146125536.81303978,118424847.60088986
2006-03-16,144887635.935287,117186946.72313708
2006-03-17,144910280.29679722,117209591.08464727
2006-03-20,145026989.3682016,117331124.93969437
2006-03-21,145031016.33557308,117336476.46982211
2006-03-22,145034199.87875342,117340707.15416774
2006-03-23,145281235.9351384,117666460.88137859
2006-03-24,145547431.38610804,117932656.33234823
2006-03-27,145513290.9078577,117898515.85409787
2006-03-28,144746208.37025344,117131433.31649363
2006-03-29,148078565.03730243,120463789.9835426
2006-03-30,148078565.03730243,120463789.9835426
2006-03-31,148071072.53133398,120456297.47757415
2006-04-03,148222033.61328733,120607258.5595275
2006-04-04,148222033.61328733,120607258.5595275
2006-04-05,148222033.61328733,120607258.5595275
2006-04-06,148222033.61328733,120607258.5595275
2006-04-07,148214541.10633993,120599766.05258012
2006-04-10,147927643.36842424,120312868.31466441
2006-04-11,147480246.72681364,119865471.67305382
2006-04-12,148169443.72671145,120554668.67295164
2006-04-13,148370316.47379193,120760379.76533246
2006-04-17,148044266.77963609,120241229.18593012
2006-04-18,149462686.53282732,122094395.79978827
2006-04-19,149462686.53282732,122094395.79978827
2006-04-20,149462686.53282732,122094395.79978827
2006-04-21,149455194.02966887,122086903.29662982
2006-04-24,149387195.6029957,122018904.86995664
2006-04-25,149532567.87756923,122170333.17716399
2006-04-26,149433504.35488322,121978953.17351374
2006-04-27,149909018.5772426,122665969.37687781
2006-04-28,149901526.07375622,122658476.87339142
2006-05-01,149685157.30963835,122442108.10927355
2006-05-02,150058235.19522005,122815185.99485525
2006-05-03,150213482.1986218,122970432.99825703
2006-05-04,150213482.1986218,122970432.99825703
2006-05-05,150213482.1986218,122970432.99825703
2006-05-08,150205989.69153973,122962940.49117494
2006-05-09,149984791.02892825,122741741.82856347
2006-05-10,149038095.22138986,121795046.02102508
2006-05-11,146573556.24026704,119330507.03990225
2006-05-12,145470645.35473353,118227596.15436874
2006-05-15,144137410.5910647,116894361.3906999
2006-05-16,143265780.2494715,116022731.04910669
2006-05-17,139975871.06241518,112732821.8620504
2006-05-18,136152907.0079078,108909857.80754302
2006-05-19,140782570.9061803,113545556.8722252
2006-05-22,136124061.6332143,108439989.10262242
2006-05-23,132845975.67901966,104975637.45105548
2006-05-24,134307594.09938434,106520307.193419
2006-05-25,134861897.63620275,107106107.07024631
2006-05-26,135886965.24518242,108193501.3143722
2006-05-30,133251955.83795643,105133163.07585302
2006-05-31,136970217.23557073,109054717.6627986
2006-06-01,141038991.6645776,113797885.98240739
