date,basket_soxl,gld,tlt,portfolio
2015-11-03,242638.5569044436,48287.01525342256,42237.632312882706,257548.6653498552
2015-11-04,242682.59663607285,47831.1358309852,42286.49262691367,257173.96397410642
2015-11-05,242437.37660032668,47682.18452082624,42174.736142020214,256728.718009284
2015-11-06,243381.49271348113,46987.082168124994,41556.64133091792,255890.68392576702
2015-11-09,243303.4707286102,47122.49343488377,41322.65829383867,255694.81238012246
2015-11-10,242693.69263555759,47023.192260534546,41444.88863437989,255345.67390902163
2015-11-11,242734.7502802351,46865.21545841511,41357.58030119016,255106.7192278068
2015-11-12,242105.29076845973,46874.240950375584,41556.64133091792,254947.41808701272
2015-11-13,241512.75312325257,46743.345137786266,41794.10728726153,254716.57573625224
2015-11-16,242446.25967447818,46811.05031980078,41755.70614900109,255345.1381351883
2015-11-17,242897.3367341185,46192.6790924394,41825.52838066041,255095.31939689672
2015-11-18,243394.971756089,46233.303736288675,41912.8258223283,255565.1130160444
2015-11-19,243477.96595780458,46743.345137786266,42192.208037217795,256473.57113556907
2015-11-20,243588.53392169866,46531.20274568763,42063.00144017043,256174.2428521191
2015-11-23,243192.48620346104,46156.57261094881,42192.208037217795,255693.1301868206
2015-11-24,243740.10512144008,46463.50072322721,42188.721803142435,256355.82452982542
2015-11-25,243773.02386555073,46246.84423105373,42286.49262691367,256275.54786064225
2015-11-27,244032.64612023204,45700.693188511446,42244.58725988962,255839.721877862
2015-11-30,244129.7477996116,46003.10674935013,42412.212989885666,256411.85284646056
2015-12-01,244144.50174623964,46165.598554274155,42985.09993512643,257277.93455642732
2015-12-02,244124.55194772076,45447.92976348251,42999.09648777048,256554.1038241398
2015-12-03,243721.91774471657,45930.89017544999,41830.217891126085,255371.0348189836
2015-12-04,246427.95342897644,46950.97252708031,42197.68505206643,258606.61928746704
2015-12-07,245927.72348770697,46341.63040259836,42607.14092385007,258158.20894931848
2015-12-08,244776.9279572749,46418.36152793822,42628.146407565764,257513.99320253724
2015-12-09,241399.4873605668,46328.0899078333,42582.642102892605,255174.01161967192
2015-12-10,243450.88353222693,46287.468874903,42638.634469546356,256532.71488600236
2015-12-11,236990.09510386735,46540.23229993194,43310.54618420241,253404.33121634336
2015-12-14,234184.7070604493,45944.43067021505,42750.632935642265,250302.11190913065
2015-12-15,236218.96855391515,45822.5603495862,42498.647160062195,251195.43212885287
2015-12-16,237052.978576629,46377.740495007914,42407.66080730397,252190.2220875732
2015-12-17,235944.5397175901,45362.169535263216,42887.10133648557,251019.36005635327
2015-12-18,234760.94956438,46057.27188796446,43125.06214675593,251242.88199466903
2015-12-21,236784.79666980702,46558.28734613671,43114.581187941745,253052.69472241623
2015-12-22,236784.79666980702,46314.54986443312,42803.10260529974,252429.4372063094
2015-12-23,236784.79666980702,46179.13904903921,42481.13927548812,251903.37209173985
2015-12-24,236784.79666980702,46513.15131040182,42724.537322875214,252535.97315786983
2015-12-28,236784.79666980702,46161.08400283443,42850.77432281763,252331.37061664212
2015-12-29,236784.79666980702,46129.488461864596,42138.87130771354,251439.75837583066
2015-12-30,236784.79666980702,45777.42431385131,42096.79262342902,251031.92992639184
2015-12-31,236784.79666980702,45795.47936005608,42286.171090247386,251278.90011126862
2016-01-04,236786.07455601127,46440.93112558272,42591.28050033932,252350.6429268369
2016-01-05,236787.35244911205,46571.827389536906,42419.41323290602,252290.84282043006
2016-01-06,236788.6303491094,47244.36014459365,42991.03628806975,253709.04727428994
2016-01-07,236789.90825600334,47912.38195912965,43068.18519911158,254534.634526638
2016-01-08,236791.18616979392,47700.239567031014,43261.090151281634,254531.9054260854
2016-01-11,236792.46409048117,47275.95568556349,42787.66126860734,253504.45635192262
2016-01-12,236793.74201806515,47036.73275529961,43404.8672368192,253976.27755239964
2016-01-13,236790.53021844832,47266.92974223814,43832.72693923377,254735.34754094525
2016-01-14,237061.9485085089,46499.60765608267,43422.40779595877,253578.4593590946
2016-01-15,237059.1660576652,46978.056676164524,44099.236795950135,254906.12569047295
2016-01-19,237074.2746952116,46932.92064042963,43962.457749962385,254703.65608286715
2016-01-20,237145.703995684,47560.31781111636,44425.37299925701,255987.80043640296
2016-01-21,237282.01248759127,47614.47933881172,44123.778709450504,255775.59312398432
2016-01-22,237283.29305718248,47393.31145475261,43955.452133701736,255333.6489024028
2016-01-25,237280.79732941472,47880.78641815981,44193.92626613153,256150.4319050731
2016-01-26,237392.14344686712,48426.937460702095,44214.949270991034,256845.65821276256
2016-01-27,237266.25429180195,48607.483860466025,44204.4432143222,256951.14594964683
2016-01-28,237204.94006820963,48088.41380745386,44267.57426322073,256417.50932325824
2016-01-29,238152.25613051569,48273.4715991034,44642.81276176103,257669.73211723164
2016-02-01,238153.5413966599,48769.97566539004,44506.11658604809,258052.95301116197
2016-02-02,238151.70052355874,48788.02710067585,45331.81706252822,259052.90941329006
