regime.ref_vol_bear_abs,regime.ref_vol_bear_rel,regime.bear_max_baskets,simple_annual,cagr,mdd,mdd_recover_days,max_underwater_days,sharpe,calmar,worst_year,worst_month,ulcer_index,pct_days_dd_gt20,avg_exposure,n_baskets_closed,basket_win_rate,n_trades,pnl_yr_cap,mdd_cap,test_pnl_yr_cap,test_mdd_cap,train_simple_annual,train_cagr,train_mdd,train_calmar,train_sharpe,test_simple_annual,test_cagr,test_mdd,test_calmar,test_sharpe
0.03,,0,0.9433940780509676,0.13664148801639842,-0.39418719619453535,450,1007,0.7442596260445915,0.34664111197808783,-0.24139403941799364,-0.248965088158831,0.13343931456340632,0.14208518753973298,0.1478289418722126,304,0.7631578947368421,15251,0.9434911128704243,-2.194093165514318,2.4225807709126,-2.194093165514318,0.1446772326908649,0.07718866782724287,-0.39418719619453535,0.19581728826410053,0.48755622103037016,0.693987808125168,0.2512633366794066,-0.18687369155623934,1.344562386427676,1.1524417232300577
0.03,2.2,0,0.9433940780509676,0.13664148801639842,-0.39418719619453535,450,1007,0.7442596260445915,0.34664111197808783,-0.24139403941799364,-0.248965088158831,0.13343931456340632,0.14208518753973298,0.1478289418722126,304,0.7631578947368421,15251,0.9434911128704243,-2.194093165514318,2.4225807709126,-2.194093165514318,0.1446772326908649,0.07718866782724287,-0.39418719619453535,0.19581728826410053,0.48755622103037016,0.693987808125168,0.2512633366794066,-0.18687369155623934,1.344562386427676,1.1524417232300577
0.035,1.5,0,0.9363895080279936,0.13633881704877115,-0.3941871961945358,450,1177,0.7589588469406136,0.3458732763645789,-0.2413940394179941,-0.24896508815883134,0.13931206304745195,0.18235294117647058,0.14547368298793956,307,0.758957654723127,15200,0.9364858223773908,-2.0968720418432074,2.3967457575547786,-2.0968720418432074,0.14736733546673494,0.07805850075728293,-0.3941871961945358,0.19802393763890846,0.48834470966042126,0.6779014869293877,0.24838036992059775,-0.21282638835702983,1.1670562651466125,1.234829130693137
0.035,1.8,0,0.8994177544722686,0.1345853739763705,-0.3941871961945358,450,1177,0.7416361035918666,0.3414250266767952,-0.2413940394179941,-0.24896508815883134,0.1393916949265937,0.1820349761526232,0.14688398070519315,309,0.7378640776699029,15421,0.8995102660127285,-2.1046169622686923,2.2906197501327843,-2.1046169622686923,0.14736733546673494,0.07805850075728293,-0.3941871961945358,0.19802393763890846,0.48834470966042126,0.6478845449961524,0.24285945498704908,-0.18318044339801987,1.3257935753510373,1.1664755491198473
0.03,1.8,0,0.8869463810315363,0.13395720751653029,-0.39418719619453535,450,1007,0.7381919141025172,0.33983145269492987,-0.24139403941799364,-0.248965088158831,0.13360888285629582,0.14208518753973298,0.14600884226727812,303,0.7458745874587459,15197,0.8870376098021568,-2.068149840507023,2.260514316961195,-2.068149840507023,0.1446772326908649,0.07718866782724287,-0.39418719619453535,0.19581728826410053,0.48755622103037016,0.6475612268120566,0.2427989484203037,-0.1831804433980192,1.325463264070957,1.145762944348233
0.03,1.5,0,0.885764104453819,0.13389932425101647,-0.39418719619453535,450,1007,0.7468466083484121,0.339684610620726,-0.24139403941799364,-0.248965088158831,0.1337448475054011,0.1424030514939606,0.14466537655753234,303,0.759075907590759,14986,0.8858552116188486,-2.054983726732151,2.2571198937578094,-2.054983726732151,0.1446772326908649,0.07718866782724287,-0.39418719619453535,0.19581728826410053,0.48755622103037016,0.646588838874758,0.2426168363496679,-0.21282638835703038,1.1399753490279696,1.1858751570439583
0.025,2.2,0,0.7196218966232731,0.12485595595602539,-0.3941871961945348,450,1198,0.709267223704622,0.3167427992623279,-0.2413940394179932,-0.24896508815883134,0.1373496242177729,0.181890389197776,0.1424099236786487,304,0.7532894736842105,14417,0.7196959148754974,-1.8570147633076703,1.8045366054619936,-1.8570147633076703,0.1331512490701016,0.0733308526316443,-0.3941871961945348,0.18603052899631697,0.47342896904211706,0.5468694839484483,0.22274884697000363,-0.2218481415724558,1.004060008757178,1.0980258730645598
0.025,,0,0.7196218966232731,0.12485595595602539,-0.3941871961945348,450,1198,0.709267223704622,0.3167427992623279,-0.2413940394179932,-0.24896508815883134,0.1373496242177729,0.181890389197776,0.1424099236786487,304,0.7532894736842105,14417,0.7196959148754974,-1.8570147633076703,1.8045366054619936,-1.8570147633076703,0.1331512490701016,0.0733308526316443,-0.3941871961945348,0.18603052899631697,0.47342896904211706,0.5468694839484483,0.22274884697000363,-0.2218481415724558,1.004060008757178,1.0980258730645598
0.025,1.5,0,0.7126555037077975,0.12444199670730516,-0.3941871961945348,450,1198,0.7128403781349648,0.3156926402193235,-0.2413940394179932,-0.24896508815883134,0.13728513807928094,0.18173153296266878,0.14108580083154196,305,0.760655737704918,14315,0.7127288054167504,-1.8399831715840183,1.7845113675552586,-1.8399831715840183,0.1331512490701016,0.0733308526316443,-0.3941871961945348,0.18603052899631697,0.47342896904211706,0.5408007838251845,0.22145592235305278,-0.21282638835702994,1.0405472933250468,1.118194015676221
0.025,1.8,0,0.6686739713053236,0.12174033931820194,-0.3941871961945348,450,1198,0.6977679222744797,0.30883889810089626,-0.2413940394179932,-0.24896508815883134,0.13907401134377229,0.1830023828435266,0.1414209967538221,304,0.7467105263157895,14344,0.6687427491995152,-1.732456146860111,1.6580842968246132,-1.732456146860111,0.1331512490701016,0.0733308526316443,-0.3941871961945348,0.18603052899631697,0.47342896904211706,0.5024867331607031,0.213039688557344,-0.26429738703630745,0.8060605174582297,1.0717019541397408
